net,length_um
_15139_,1050.24
_23485_,1049.845
_23111_,1048.53
_23287_,1048.47
_19762_,1046.65
_19087_,1042.49
_19244_,1042.41
_19764_,1038.88
_24519_,1038.67
_23042_,1038.37
net439,1037.48
_23087_,1037.05
_20834_,1036.35
_21388_,1036.125
_23183_,1035.44
_20685_,1034.67
_21253_,1034.1
net414,1032.38
net425,1032.2
_10020_,1031.305
net436,1030.935
_24539_,1029.04
_23248_,1028.21
m1.B22\[7\],1027.57
_24527_,1026.16
_11084_,1026.02
_19881_,1025.435
_22884_,1025.32
net417,1025.19
_23274_,1024.48
_20411_,1023.69
_23105_,1023.49
_08892_,1022.895
_23102_,1022.305
_21764_,1022.3
_22891_,1020.08
net377,1019.59
net448,1019.4
_20100_,1019.06
_23324_,1018.82
_13648_,1017.63
_19557_,1017.58
m1.B22\[5\],1017.09
_22386_,1016.52
_21619_,1016.36
_19774_,1014.08
_23128_,1014.05
_19621_,1013.545
_22881_,1013.01
_24263_,1013.01
_19968_,1012.43
_18923_,1012.305
_18487_,1011.86
_23139_,1011.465
net470,1010.86
_21384_,1010.34
_19597_,1010.285
_21706_,1010.27
_21470_,1010.18
_19682_,1009.58
net450,1009.125
net345,1009.09
_19259_,1007.615
_24524_,1007.54
_19761_,1006.89
_21423_,1006.64
_19812_,1006.105
_22897_,1005.62
net415,1005.26
_19737_,1004.77
_20012_,1004.43
_23476_,1003.48
net409,1001.66
_21421_,1001.495
_20576_,1000.9
_20151_,1000.32
_20011_,1000.14
_12850_,998.88
_21997_,997.7
_19666_,997.415
_21395_,997.12
_19951_,996.69
_21332_,996.69
_10028_,996.31
_19481_,996.21
_21635_,995.205
_19659_,995.11
_21422_,994.68
_19540_,993.79
_19703_,993.19
_15799_,992.42
_20239_,992.38
_22837_,992.09
_22878_,991.28
_21589_,991.07
net389,990.28
_21468_,990.1
_18331_,989.89
_19683_,989.64
net387,988.03
_20326_,987.71
_19765_,987.65
_21663_,986.2
m1.B21\[1\],985.22
_17290_,984.55
net364,983.77
_21501_,983.765
_09494_,983.4
_22324_,982.77
_21341_,982.56
_09098_,982.46
_10930_,981.975
net312,981.28
net376,980.92
_24901_,979.62
_22469_,978.76
_21352_,978.335
_12630_,978.115
_19316_,977.51
_23168_,977.2
_21979_,977.17
_17389_,976.89
_19987_,976.55
net397,975.37
net423,975.24
_12124_,975.19
_19747_,974.515
_23292_,973.79
_23467_,973.665
_19970_,971.99
_22859_,971.89
net420,970.92
net430,970.77
_19274_,970.69
_19992_,970.4
_10314_,970.365
_21699_,969.165
_23093_,968.89
_21833_,968.24
_12267_,967.03
_19715_,966.84
_21546_,966.66
_13279_,966.45
_15810_,966.41
_20746_,965.37
_22973_,963.6
net403,963.59
_21437_,962.12
_21336_,961.97
_24649_,961.67
net472,960.815
_19263_,960.675
_21248_,959.46
_18411_,959.11
_18976_,958.9
_19730_,957.71
_21588_,956.06
_19884_,955.92
_21813_,955.07
net419,953.28
_19927_,952.9
_23237_,952.405
_08988_,951.64
net447,951.63
_19961_,951.61
_21638_,951.27
_09076_,950.78
_23473_,950.53
_23243_,949.805
_19685_,948.66
_19279_,947.59
_09824_,947.35
_20001_,946.8
_22893_,946.695
_19663_,946.48
_25244_,945.88
_10325_,945.14
_22984_,944.75
_20282_,944.73
_09219_,944.3
_11811_,944.23
_23621_,943.74
_23240_,943.38
_22323_,943.105
_19617_,943.075
_15843_,942.63
_21351_,942.3
_19735_,941.59
_19347_,941.475
_21408_,941.35
_19719_,940.75
_20014_,940.7
net356,940.015
_21331_,939.625
net440,939.48
_02800_,938.79
_23268_,937.435
_22988_,936.42
_21418_,935.51
_19783_,934.82
_22895_,934.13
_19265_,932.605
_24314_,932.33
_19949_,932.105
_21937_,931.645
_23478_,931.51
net391,930.98
_21935_,930.86
_14961_,930.56
_23449_,930.02
_21389_,929.92
_13868_,929.895
_19709_,929.31
_23108_,928.85
_23063_,927.705
_21820_,927.33
_24258_,927.08
_21252_,926.85
_19669_,926.42
_19952_,926.14
_24560_,926
_21412_,924.92
_23264_,924.815
_19785_,924.32
_14198_,922.76
_24657_,922.46
_21529_,922.17
_23055_,922.17
_22374_,921.7
_16481_,920.89
_12212_,920.6
_19720_,920.555
_20976_,920.17
_21358_,919.94
_12751_,919.875
_20210_,919.845
_18120_,919.78
m1.B11\[15\],919.63
_10732_,919.585
_23300_,919.45
_21592_,919.26
_15128_,919.235
_21360_,918.07
net466,916.295
_12351_,915.415
_05783_,915.275
_21035_,914.67
_10985_,914.605
_20137_,914.54
_19704_,914.48
_19963_,913.24
_09131_,912.71
_21301_,912.36
_20300_,912.01
_19282_,911.89
_06586_,911.305
_21599_,911.2
_21364_,910.49
_24549_,910.28
_19660_,909.59
_23064_,909.07
_21660_,909.015
_23247_,908.69
_20221_,908.51
net512,907.98
_21517_,907.785
_09527_,906.37
_23258_,906.33
_16850_,906.31
_20657_,906.24
_19675_,906.2
_23817_,904.97
_21526_,904.94
_15260_,904.535
_19734_,904.48
_20163_,904.28
_09417_,904.115
_09230_,903.855
_21641_,903.55
net401,902.07
_24596_,901.27
_24080_,901.23
_23316_,901.135
net366,901.11
_21610_,900.98
_21730_,900.765
_23562_,900.765
_23174_,900.21
_14953_,900.175
net375,900.04
_21453_,899.255
_10919_,898.96
_21392_,898.87
_13637_,898.6
_09505_,898.32
_23275_,897.49
net396,897.2
_20162_,897.12
_20322_,897
_21390_,896.56
_19672_,893.92
_21488_,893.28
_23170_,892.94
_22934_,892.9
_20161_,892.81
_10182_,892.775
net388,892.27
_23113_,892.155
_23301_,891.895
_13158_,891.65
_23236_,891.3
_08966_,891.15
_21811_,890.87
_19594_,890.36
_11838_,888.82
net408,888.42
_21404_,888.35
_02368_,888.19
_23447_,887.95
_12531_,886.76
_21454_,886.35
_21756_,885.505
m1.B12\[11\],885.39
_11018_,885.36
_23289_,884.95
_09252_,884.31
net334,884.11
_15854_,883.73
_23387_,883.64
_21523_,883.445
m1.B21\[7\],882.875
_19876_,882.03
_23157_,881.7
_19343_,881.485
_19803_,881.25
_21476_,880.675
_12256_,880.625
_21242_,880.03
net407,879.95
_08848_,879.02
_24588_,878.57
_20109_,877.1
_24547_,876.9
_23514_,876.45
_12399_,876.41
_23041_,875.85
_09483_,875.34
_23261_,874.71
_19872_,874.62
_19964_,874.2
_23450_,874.17
_21196_,872.23
_21623_,871.64
_23252_,871.575
_23172_,870.8
_23100_,870.64
_19740_,870.305
_15150_,869.185
_20134_,869.12
_21021_,869.06
_19710_,868.76
net479,868.615
net421,868.2
_20157_,867.905
_19086_,867.84
_19711_,867.4
m0.B21\[2\],867.01
_00775_,866.74
_23323_,866.24
_23386_,865.11
_12465_,864.9
_23714_,864.69
_19878_,864.26
_21668_,864.04
_21229_,863.7
_20443_,862.935
_21397_,862.49
_23239_,861.58
_09153_,861.57
_23153_,861.14
m1.B21\[10\],861.03
net392,860.96
_21427_,860.81
_21525_,860.765
_23137_,860.65
_23510_,859.79
_12509_,859.42
m0.B22\[6\],857.49
_23303_,855.3
_05482_,854.48
_12388_,854.28
_08859_,851.29
_22970_,851.11
_19875_,850.7
_14385_,849.625
_23056_,849.54
_23182_,848.615
_19736_,848.52
clknet_4_6_0_clk,847.52
_19874_,846.845
_01062_,846.68
_20669_,845.95
_23062_,844.395
_25118_,844.24
_21496_,843.67
_12366_,843.11
_21406_,842.47
_21307_,841.59
_21518_,841.41
_23452_,840.985
_05572_,839.65
_19401_,839.12
net393,837.72
_18778_,837.37
_20135_,836.01
_12135_,835.7
_21079_,835.28
_19746_,833.4
_21604_,832.595
_23326_,832.31
clknet_4_7_0_clk,832.03
_20223_,832.02
_15821_,831.09
_15777_,830.27
_19743_,829.4
net422,828.96
_09043_,828.84
_19353_,828.34
net490,828.07
_01183_,828.06
_02568_,826.945
_23079_,826.895
_15865_,826.47
_05728_,826.435
_24691_,826.09
_05564_,825.3
_21457_,824.44
_19590_,823.89
_21498_,823.4
_24365_,822.82
_23177_,822.48
_09747_,821.685
m2.A21\[0\],821.2
net368,821.155
_12421_,820.055
_16008_,820.015
_19264_,819.98
_23067_,819
_21696_,818.7
_19712_,818.69
_23266_,818.625
_22975_,817.87
_18666_,817.555
_20345_,817.05
_16949_,815.92
_23035_,814.44
_01006_,813.785
_14242_,812.55
_05593_,812.08
_23517_,812.06
_12949_,811.62
_09857_,811.14
_19716_,810.8
_19344_,810.39
_23319_,808.88
_21612_,807.88
net372,807.85
_24884_,807.65
_12355_,806.84
_24944_,805.76
_10259_,804.51
_21505_,804.435
_21822_,803.895
_25640_,802.55
_23295_,800.83
_21600_,800.665
_19824_,798.15
_05729_,798.035
_18202_,798.01
_14418_,797.575
_23090_,797.23
m1.B11\[10\],797.12
_21066_,797.11
_13081_,794.94
_20346_,794.38
_19787_,792.005
_21409_,791.81
_21618_,791.76
_23029_,791.05
_25095_,791.05
_21231_,790.905
net426,790.74
_12443_,790.305
_23249_,789.79
_25116_,789.64
_21607_,787.74
_23076_,787.19
net435,786.515
_18400_,785.51
net468,785.38
_24876_,784.56
_19752_,784.1
_21530_,783.45
net893,782.875
_22880_,782.63
_20198_,782.37
_21029_,782.25
_20970_,780.76
_21603_,780.54
_09296_,778.69
_19860_,778.205
_23124_,778.045
_21386_,778.04
_19800_,777.74
_23143_,777.74
_19281_,777.72
_24874_,776.9
_23982_,776.615
_23086_,775.29
_21613_,774.94
m1.B21\[9\],774.89
_19384_,773.73
_08805_,772.85
_24506_,772.38
m1.B11\[9\],771.4
m0.B12\[15\],770.12
_19082_,769.94
_21394_,769.78
m0.B21\[5\],768.66
_18615_,767.55
_21234_,766.91
_14396_,766.46
_09538_,766.18
m0.B21\[15\],764.62
_16019_,764.41
_05563_,763.845
_24943_,763.46
net501,763.41
_21596_,761.78
_20605_,760.03
_22605_,759.99
_05462_,759.935
_14814_,759.52
_21907_,759.38
_15205_,758.1
_22968_,757
_19810_,756.99
_07185_,756.96
_06822_,755.855
_24356_,755.71
_20222_,754.06
_21695_,753.41
m0.B22\[1\],751.99
_19728_,751.53
_18122_,750.65
_12872_,750.44
_23046_,750.26
_19665_,749.735
_21587_,749.6
_19763_,749.58
_21908_,749.28
_23126_,748.98
_21279_,748.63
_19809_,748.38
_22996_,747.56
_23049_,746.85
m1.B21\[8\],746.54
_21381_,744.83
_23257_,744.8
_21625_,743.33
_24866_,742.75
_21854_,741.965
net373,741.91
_24896_,741.755
_23025_,741.72
_21521_,740.96
_09087_,739.94
_23037_,739.7
_22654_,739.205
_10237_,737.49
_18385_,736.06
_23088_,735.93
_24865_,733.53
_21473_,733.485
_17862_,733.22
m0.B12\[9\],732.98
_25609_,732.9
_05679_,732.83
_25096_,732.6
m0.B21\[11\],732.375
m1.B21\[12\],732.2
_21860_,731.03
_22607_,730.73
_00783_,729.96
m1.B21\[15\],729.83
_23040_,729.79
_25168_,729.35
_22827_,729.28
_23050_,729.235
_09065_,729.045
_14803_,728.83
_23353_,726.99
m1.B21\[11\],726.82
m1.B21\[13\],726.5
_23262_,726.29
_20388_,725.96
_05677_,725.535
_19402_,725.28
_20391_,724.865
_25087_,724.825
_12520_,723.54
_25610_,722.8
_19769_,722.38
m0.B22\[11\],721.34
clknet_4_0_0_clk,721.16
clknet_4_13_0_clk,720.8
_21551_,719.72
_24864_,719.41
_24695_,718.5
net457,718.31
_11348_,718.24
_25100_,716.3
_21859_,715.92
_21474_,714.48
_19693_,711.555
net424,711.225
_19799_,711.18
_10996_,710.38
_24895_,709.585
net301,709.48
_12145_,709.41
_19966_,708.98
m1.B21\[3\],706.94
m1.B11\[13\],706.36
net932,706.23
_20972_,706.16
_23032_,705.74
_19790_,705.035
_25165_,705
_22661_,704.91
_19760_,704.38
_09549_,704.31
_23084_,704.005
_19668_,703.62
_19858_,701.57
_20197_,700.935
m1.B11\[5\],700.52
m0.B12\[10\],699.98
_12608_,699.77
