net,length_um
_14509_,86.56
_21304_,86.56
_02291_,86.54
net698,86.52
_22200_,86.5
m1.B12\[7\],86.5
_06960_,86.46
_23905_,86.46
_22453_,86.45
net650,86.44
_23824_,86.32
_05188_,86.3
_23430_,86.3
_25700_,86.26
net79,86.26
_01142_,86.24
net491,86.2
_18519_,86.18
_20288_,86.18
_01572_,86.16
_18913_,86.14
_23342_,86.13
_00750_,86.1
_15036_,86.1
net172,86.1
_10906_,86.06
_20195_,86.06
m0.A21\[15\],86.02
m1.B12\[6\],86.02
_17571_,86.015
_16986_,85.92
_16993_,85.87
_02761_,85.84
_23609_,85.78
_01234_,85.72
_10816_,85.66
net483,85.64
net244,85.52
net756,85.52
_02669_,85.5
_07706_,85.5
_08282_,85.5
_16071_,85.46
_06716_,85.4
_04507_,85.34
_25573_,85.3
net762,85.3
_17728_,85.28
_11313_,85.22
_12774_,85.16
net581,85.11
_01376_,84.99
_21414_,84.98
_01506_,84.96
_10287_,84.94
_02460_,84.84
_07422_,84.8
_20037_,84.8
net59,84.8
_24246_,84.76
_01166_,84.74
net68,84.68
net160,84.68
_10267_,84.645
net654,84.64
_14214_,84.62
_22455_,84.6
_24545_,84.6
_06315_,84.58
_20501_,84.52
_14199_,84.44
_20285_,84.44
_01699_,84.42
_05898_,84.42
net670,84.4
_14087_,84.37
_09250_,84.36
_05680_,84.34
net539,84.26
net655,84.26
_01533_,84.24
_18648_,84.24
_17796_,84.16
_20640_,84.16
_01228_,84.09
_20203_,84.08
net944,84.08
_07183_,84.04
_09262_,84.02
_10703_,84.02
net9,84
_11726_,83.96
_18813_,83.94
m0.A11\[6\],83.935
net238,83.92
_17381_,83.9
_20606_,83.9
_11267_,83.88
_17282_,83.88
net167,83.88
_04355_,83.86
_24999_,83.8
_24443_,83.74
_12042_,83.71
_14392_,83.67
_05653_,83.64
_05777_,83.64
_16931_,83.625
_01304_,83.535
net769,83.465
_05319_,83.44
_02556_,83.38
_24405_,83.36
_12736_,83.34
_08736_,83.3
_09082_,83.28
_01821_,83.26
_04467_,83.26
_11052_,83.26
_11208_,83.23
_25897_,83.2
_08905_,83.165
_05209_,83.16
_19457_,83.16
_11207_,83.14
_21650_,83.14
_09072_,83.12
_16503_,83.1
m1.B22\[12\],83.02
_24383_,82.96
_12105_,82.9
_11446_,82.82
_01850_,82.77
_03726_,82.74
_20542_,82.72
net641,82.72
_13803_,82.68
net640,82.64
_02302_,82.6
_01624_,82.59
_06249_,82.5
_19459_,82.48
net530,82.43
_16464_,82.42
_24616_,82.4
_07095_,82.36
_11513_,82.34
_01640_,82.33
_23484_,82.26
_03748_,82.22
_19898_,82.2
_24762_,82.195
_05916_,82.18
_07698_,82.18
_11871_,82.12
_11507_,82.1
net540,82.1
_17923_,82
_01216_,81.98
_09172_,81.96
_02195_,81.94
net671,81.9
_02198_,81.86
_09092_,81.82
_19309_,81.78
_23740_,81.78
_08403_,81.74
_15073_,81.68
_06261_,81.64
_12406_,81.64
_00000_,81.63
_10609_,81.6
_19118_,81.6
_24792_,81.6
_07263_,81.58
_20219_,81.57
_25050_,81.48
_18646_,81.46
_24844_,81.44
net237,81.44
_04469_,81.4
_19181_,81.36
_23723_,81.36
_06424_,81.355
_08496_,81.3
_05084_,81.28
_14315_,81.28
_17725_,81.2
_20409_,81.16
_12099_,81.14
_20441_,81.14
net203,81.12
_24821_,81.1
_14085_,81.04
_24239_,81.02
_07157_,81
_13926_,80.94
_15657_,80.94
_10407_,80.93
_02700_,80.92
_03728_,80.84
net197,80.82
_12820_,80.78
_12771_,80.7
_19924_,80.7
_15569_,80.66
_05493_,80.62
_16170_,80.61
_10766_,80.6
_18649_,80.6
_10506_,80.58
_21444_,80.56
_05885_,80.54
_16761_,80.5
_17719_,80.48
_24058_,80.48
_13512_,80.45
_23214_,80.34
_15265_,80.3
_16114_,80.3
_23278_,80.28
_25498_,80.24
_04873_,80.22
_11160_,80.16
net609,80.16
net577,80.15
_01371_,80.14
_08665_,80.14
_04871_,80.06
_23505_,80.06
_11123_,80
_11453_,79.96
_08131_,79.93
_22325_,79.92
_25600_,79.92
_17394_,79.9
_20555_,79.82
_10046_,79.78
_13948_,79.78
_21672_,79.76
m0.A22\[6\],79.72
_08984_,79.66
_22061_,79.62
_20257_,79.6
_24048_,79.54
_22383_,79.52
_08802_,79.46
_18503_,79.46
_21642_,79.44
net16,79.44
_22728_,79.38
_05099_,79.3
net177,79.2
net608,79.14
_05971_,79.08
_12788_,79.04
_02579_,78.96
_09949_,78.96
_22730_,78.96
net649,78.92
_12001_,78.9
_17565_,78.88
_15168_,78.84
_05026_,78.8
_23839_,78.78
_25601_,78.78
_11834_,78.7
_23195_,78.7
_02753_,78.62
_11060_,78.6
_12118_,78.6
_21075_,78.58
_24811_,78.57
net658,78.56
clknet_leaf_20_clk,78.56
_19460_,78.52
_12125_,78.51
_06526_,78.48
_21704_,78.44
_24613_,78.32
_00836_,78.315
_18195_,78.28
_04439_,78.24
_19189_,78.24
_15711_,78.22
_21858_,78.22
_22326_,78.22
_12342_,78.21
_04964_,78.2
_07162_,78.18
_13236_,78.16
_13457_,78.12
_20324_,78.04
net48,78.03
_10372_,78.02
_07585_,78
m0.A11\[3\],77.98
_17549_,77.92
_15811_,77.86
_24382_,77.84
_02265_,77.78
_15635_,77.755
_15312_,77.74
_18204_,77.74
_10993_,77.72
_17220_,77.7
_06612_,77.68
_04076_,77.66
_14870_,77.62
_17482_,77.62
net758,77.56
_17048_,77.52
_21949_,77.46
_04120_,77.44
_02264_,77.4
_17372_,77.32
net14,77.32
net182,77.32
_18197_,77.3
_21898_,77.26
_00912_,77.22
_09218_,77.22
_22246_,77.1
_04017_,77.08
_24710_,77.06
_15053_,77.02
_10304_,76.9
_03068_,76.88
_03595_,76.88
net38,76.84
_24366_,76.78
_24415_,76.7
_02314_,76.66
_07957_,76.64
m0.A11\[5\],76.64
net524,76.54
_12839_,76.49
_16470_,76.44
m2.A12\[10\],76.44
_22186_,76.42
_13734_,76.38
_01641_,76.36
_06073_,76.36
_04236_,76.29
_17781_,76.28
_20586_,76.26
clknet_leaf_156_clk,76.26
_01236_,76.22
_01507_,76.22
_06113_,76.22
_17846_,76.21
net146,76.18
_21052_,76.16
_23933_,76.13
_07429_,76.1
_10874_,76.1
_01335_,76.08
net545,76.08
_08377_,76.06
_21038_,76.02
_14263_,75.96
_21785_,75.96
net761,75.94
_24798_,75.87
_12292_,75.84
_00911_,75.82
_12210_,75.76
_13419_,75.76
_17308_,75.72
_14149_,75.7
_19939_,75.66
net214,75.64
_15051_,75.6
net162,75.6
_02272_,75.58
_01632_,75.56
_14225_,75.54
clknet_leaf_144_clk,75.54
_02233_,75.52
_14254_,75.52
_14115_,75.5
_11398_,75.48
_09287_,75.475
m1.B22\[2\],75.46
_22297_,75.44
_13927_,75.43
_22197_,75.4
_25041_,75.4
_25224_,75.4
_06220_,75.385
_11502_,75.36
_05913_,75.31
_02196_,75.2
_05964_,75.2
_04077_,75.18
_17884_,75.14
_19930_,75.06
_02175_,75.04
_23608_,75.015
_02119_,74.98
_01413_,74.96
_16863_,74.92
_20319_,74.86
_25688_,74.82
_24093_,74.8
net29,74.76
_22454_,74.74
_19937_,74.7
_05999_,74.64
_22047_,74.64
_02276_,74.58
_11298_,74.58
_03442_,74.57
_25375_,74.56
net653,74.54
_08985_,74.48
_20801_,74.46
_22692_,74.46
net656,74.42
m0.A22\[14\],74.38
_14005_,74.35
_23827_,74.28
_07686_,74.22
_20671_,74.22
clknet_leaf_43_clk,74.22
_03735_,74.2
_06413_,74.2
net128,74.18
_12031_,74.16
_07413_,74.14
_09267_,74.14
net135,74.12
_10788_,74.1
_18200_,74.1
_24862_,74.1
_23941_,74.06
_02304_,74
_03543_,74
_20077_,74
_18712_,73.92
_03079_,73.9
_18382_,73.9
clknet_leaf_33_clk,73.88
_00540_,73.855
_18612_,73.84
_22908_,73.82
clknet_leaf_11_clk,73.82
_15433_,73.8
_20831_,73.76
_12555_,73.74
_02940_,73.725
_18001_,73.72
_07199_,73.66
_07424_,73.655
_21091_,73.5
_23646_,73.48
_06706_,73.42
_08145_,73.42
_01585_,73.38
_12775_,73.38
_12938_,73.36
clknet_leaf_112_clk,73.32
_03877_,73.3
_05900_,73.3
_22051_,73.3
_08422_,73.28
_23857_,73.28
_11702_,73.26
_15097_,73.22
_10459_,73.2
clknet_leaf_54_clk,73.2
net555,73.12
_05160_,73.1
_15636_,73.1
_04119_,73.08
_15193_,73.06
_25755_,73.03
_01179_,73.02
_08888_,73.02
clknet_leaf_63_clk,73.02
_06957_,72.98
_13202_,72.98
_20473_,72.98
_25512_,72.98
_01759_,72.92
_17556_,72.86
_09280_,72.84
_10335_,72.84
_02938_,72.8
_01140_,72.76
_04068_,72.72
_01630_,72.715
_23350_,72.7
_09127_,72.58
_15808_,72.56
_13796_,72.5
_22382_,72.5
net546,72.5
net531,72.48
_17270_,72.44
_17350_,72.44
_05158_,72.42
_15403_,72.42
_10305_,72.36
clknet_leaf_14_clk,72.34
_08101_,72.32
_13692_,72.32
_03755_,72.28
_07438_,72.28
_14223_,72.28
_02541_,72.26
_20316_,72.26
_25624_,72.24
_01771_,72.22
_05024_,72.22
_04064_,72.2
clknet_leaf_42_clk,72.2
_23832_,72.18
_05170_,72.14
net509,72.14
_15218_,72.1
_25595_,72.08
_15655_,72.03
_05955_,72
_15223_,72
_21836_,72
net143,72
clknet_leaf_157_clk,72
_03527_,71.94
_14054_,71.92
_15911_,71.92
m1.B22\[11\],71.92
_05997_,71.88
_12036_,71.86
_23636_,71.8
_22462_,71.78
_22909_,71.78
_01387_,71.73
_03743_,71.65
_10038_,71.64
_21491_,71.62
_23399_,71.62
_01537_,71.6
_02706_,71.6
_13076_,71.6
_16345_,71.585
net507,71.58
_11391_,71.56
_15107_,71.54
_21417_,71.53
_24857_,71.52
_00616_,71.48
clknet_leaf_58_clk,71.46
_03586_,71.42
clknet_leaf_55_clk,71.4
_01621_,71.38
_05191_,71.38
_15618_,71.38
_25962_,71.36
net560,71.35
_14384_,71.32
_17650_,71.32
net639,71.32
clknet_leaf_15_clk,71.26
_22059_,71.24
_13990_,71.2
_11658_,71.18
_24976_,71.175
_23810_,71.16
_14411_,71.14
_16856_,71.12
_08990_,71.07
_12022_,71
_04021_,70.98
_20967_,70.92
_12343_,70.88
clknet_leaf_51_clk,70.86
_19535_,70.8
_12408_,70.72
_01529_,70.71
_23667_,70.68
_04638_,70.66
_25934_,70.66
_18031_,70.62
_06525_,70.6
_22621_,70.6
_25571_,70.58
_01512_,70.54
_03860_,70.54
_11252_,70.54
_16119_,70.52
_10995_,70.5
_12097_,70.5
_07217_,70.48
_21800_,70.48
_04369_,70.46
_01636_,70.3
_15132_,70.28
_15435_,70.28
_05684_,70.275
_20258_,70.26
_14576_,70.22
_02476_,70.18
_04357_,70.16
_10750_,70.14
_14001_,70.14
_07132_,70.06
_09047_,70.04
_20244_,70
_03444_,69.98
_18830_,69.98
net516,69.98
net571,69.945
m1.B21\[2\],69.93
_12648_,69.88
_09030_,69.87
_16780_,69.86
_07063_,69.84
_16905_,69.84
_16607_,69.76
_20506_,69.76
_12426_,69.75
net10,69.75
_01011_,69.74
_23583_,69.7
_14212_,69.675
_14112_,69.62
_25515_,69.62
_22441_,69.59
_05435_,69.58
m0.B11\[10\],69.56
_01337_,69.54
_06216_,69.5
_18586_,69.5
_12440_,69.48
clknet_leaf_35_clk,69.48
_13111_,69.44
clknet_leaf_164_clk,69.44
_18602_,69.42
_15276_,69.38
_07262_,69.36
_12041_,69.36
_12646_,69.32
_12445_,69.28
_08381_,69.24
_19549_,69.24
net599,69.22
_11794_,69.2
_23493_,69.2
_07998_,69.13
_14218_,69.1
_01453_,69.08
_02939_,69.04
_09900_,69.02
_05826_,68.98
_23699_,68.98
_14577_,68.94
_12581_,68.92
_04472_,68.9
_05773_,68.9
_09789_,68.86
_14928_,68.82
_13738_,68.64
_23524_,68.64
net265,68.64
_10901_,68.62
_23979_,68.6
net695,68.6
_14765_,68.58
_20471_,68.58
_03596_,68.56
_25569_,68.52
_13232_,68.5
_03294_,68.48
net832,68.46
_04499_,68.41
_13477_,68.38
net141,68.38
net765,68.38
_01588_,68.36
_08741_,68.36
_01323_,68.32
_13006_,68.3
_17279_,68.3
_23206_,68.28
_04325_,68.24
_07312_,68.24
_08518_,68.24
net736,68.24
_19807_,68.22
_11825_,68.2
net578,68.16
_09289_,68.15
_04905_,68.14
_09180_,68.09
_13559_,68.07
_09270_,68
_15888_,67.96
_16202_,67.92
_00999_,67.9
_25491_,67.9
_07452_,67.86
_09029_,67.86
_14685_,67.84
_17061_,67.82
_00921_,67.8
_18595_,67.74
_08564_,67.7
_18623_,67.7
_04264_,67.68
net84,67.68
net134,67.66
_15456_,67.64
_18686_,67.64
_23370_,67.62
_16673_,67.61
_15119_,67.6
_16686_,67.54
_20059_,67.52
_04588_,67.5
_13719_,67.45
_24906_,67.4
net270,67.4
_18283_,67.32
clknet_leaf_59_clk,67.26
_15423_,67.23
net142,67.22
_05972_,67.2
_08906_,67.2
_07696_,67.18
_12611_,67.18
_07826_,67.16
_03745_,67.15
_07589_,67.15
_13902_,67.14
_12642_,67.12
_16932_,67.12
net583,67.11
_00997_,67.03
_18268_,67.02
_22308_,66.97
_06128_,66.96
_23136_,66.94
_03341_,66.92
_16177_,66.9
_03094_,66.88
_10156_,66.88
net44,66.88
_25102_,66.82
_24850_,66.8
_25581_,66.8
clknet_leaf_18_clk,66.8
_03095_,66.78
_08932_,66.72
net648,66.7
net168,66.68
_13712_,66.67
_14707_,66.66
_10063_,66.55
_11498_,66.52
_11673_,66.5
_10895_,66.48
_11679_,66.46
_14304_,66.46
_16699_,66.44
_12065_,66.4
_19998_,66.37
_23388_,66.32
_16126_,66.28
_08210_,66.26
_03047_,66.22
_12442_,66.22
_23448_,66.2
_23863_,66.19
_23179_,66.18
_05617_,66.17
m0.B11\[8\],66.15
_09712_,66.14
_10273_,66.14
_04691_,66.08
net47,66.08
_15706_,66.06
_13755_,65.98
_04358_,65.96
net523,65.92
_14329_,65.9
net615,65.76
clknet_leaf_49_clk,65.76
_03849_,65.74
_22115_,65.72
_12831_,65.7
_08529_,65.66
_12833_,65.66
_15369_,65.64
_11211_,65.6
_17015_,65.6
_25101_,65.56
_11504_,65.46
_16714_,65.46
_12490_,65.44
_14023_,65.44
_05858_,65.4
_10593_,65.4
_13768_,65.38
clknet_leaf_17_clk,65.34
_08759_,65.33
_03628_,65.32
_16492_,65.24
_02410_,65.22
_12293_,65.16
_04587_,65.14
_10654_,65.14
_12719_,65.14
_11971_,65.02
_23373_,65
_20294_,64.98
_15750_,64.96
_21048_,64.94
_10203_,64.92
_14435_,64.9
net563,64.9
_02642_,64.86
_14009_,64.8
_04030_,64.76
_16969_,64.72
_11647_,64.68
_03382_,64.66
_23508_,64.66
_19999_,64.64
_03875_,64.62
_12463_,64.62
_07404_,64.58
_23966_,64.58
_15457_,64.56
_08033_,64.54
_11835_,64.5
net247,64.5
_13355_,64.48
_12584_,64.46
_07791_,64.44
_01567_,64.42
_09111_,64.42
_14283_,64.42
_15049_,64.36
_24436_,64.36
_01568_,64.34
_02477_,64.3
net53,64.3
_15826_,64.28
_15376_,64.26
_06182_,64.22
_00541_,64.2
_14528_,64.2
_02810_,64.16
_02538_,64.1
_20456_,63.93
_02300_,63.88
_15910_,63.88
_02954_,63.84
_21703_,63.84
_18131_,63.83
_16975_,63.78
_21945_,63.74
_07223_,63.72
_21127_,63.7
net169,63.67
_06694_,63.66
_18974_,63.66
_23500_,63.64
_09302_,63.62
_08350_,63.58
_11951_,63.46
_08598_,63.42
_13891_,63.42
_18725_,63.42
_11814_,63.38
_20078_,63.38
clknet_leaf_2_clk,63.38
_19206_,63.36
_13766_,63.34
_11246_,63.32
_20583_,63.32
_07001_,63.3
_20674_,63.26
_11353_,63.24
_07888_,63.23
net766,63.14
net776,63.1
_10856_,63.08
_15641_,63.04
_18357_,63.04
_03306_,63.02
_06035_,63
_15508_,62.96
_23872_,62.9
_11286_,62.88
_19980_,62.88
_17537_,62.87
_02812_,62.86
_10764_,62.86
_17639_,62.8
_24791_,62.8
_04106_,62.78
_11797_,62.74
_04920_,62.72
_23096_,62.72
_06192_,62.66
_09858_,62.66
_18560_,62.66
_01720_,62.64
_12464_,62.64
_24178_,62.64
_22477_,62.62
_18013_,62.58
_08615_,62.56
_15558_,62.56
_07270_,62.54
_19925_,62.52
_02941_,62.515
_20228_,62.5
clknet_leaf_36_clk,62.48
_14305_,62.46
_13437_,62.42
_23398_,62.4
_24923_,62.38
_02547_,62.34
_11000_,62.34
_06976_,62.32
_16592_,62.32
net556,62.32
_14010_,62.315
_20317_,62.3
_21128_,62.3
_12503_,62.28
_25078_,62.27
_09967_,62.22
net133,62.22
_07877_,62.21
_23929_,62.2
net606,62.2
_24389_,62.17
_07064_,62.14
_20594_,62.14
_14179_,62.12
_23481_,62.12
_19285_,62.1
_03731_,62.08
_04365_,62.08
_13300_,62.06
_05705_,62.04
_15325_,62.04
_21644_,62.035
_20036_,62
_22274_,61.98
_00728_,61.88
_02159_,61.86
_17137_,61.86
_15425_,61.84
_03752_,61.8
_11676_,61.72
_01758_,61.7
_11434_,61.7
_19014_,61.7
_04126_,61.68
_18608_,61.62
net588,61.62
_19582_,61.58
_23135_,61.58
_10451_,61.55
_22259_,61.54
_06542_,61.51
_16176_,61.5
_17314_,61.48
_18048_,61.48
net86,61.46
_12737_,61.4
_09917_,61.36
_10253_,61.36
_08334_,61.34
clknet_leaf_47_clk,61.34
clknet_leaf_133_clk,61.32
_16683_,61.24
_10956_,61.08
_20608_,61.06
_22052_,61.06
_01104_,61.04
_01767_,61
_02874_,60.92
_04104_,60.9
_08760_,60.88
_19254_,60.86
clknet_leaf_127_clk,60.86
_05009_,60.85
_10849_,60.82
net130,60.82
_12602_,60.81
_03166_,60.76
_04004_,60.75
_15363_,60.74
_04134_,60.72
clknet_leaf_0_clk,60.655
clknet_leaf_151_clk,60.6
_22375_,60.58
_25602_,60.56
_11735_,60.55
_01303_,60.52
_09960_,60.52
_10639_,60.5
clknet_leaf_37_clk,60.5
_03649_,60.48
_05012_,60.48
net598,60.48
_06127_,60.46
_21826_,60.46
_05648_,60.44
clknet_leaf_13_clk,60.44
_14051_,60.4
_24438_,60.4
_10152_,60.36
_10150_,60.34
_11722_,60.34
_01503_,60.32
_10870_,60.32
_18265_,60.32
_17703_,60.28
net52,60.28
_15151_,60.255
_20292_,60.22
_16789_,60.18
_21449_,60.12
_01838_,60.1
_21840_,60.08
_20486_,60.04
_22735_,60.04
_24670_,60.04
_18775_,60.02
_01403_,60
_25401_,59.98
_25756_,59.98
net564,59.98
_03312_,59.95
_19871_,59.935
_10859_,59.92
_06925_,59.86
_14697_,59.86
_22305_,59.82
net600,59.82
_04753_,59.8
_14497_,59.74
_06893_,59.7
_13716_,59.7
_15371_,59.7
_18225_,59.7
_16724_,59.68
_06626_,59.64
_09841_,59.64
_25176_,59.64
_04539_,59.62
_16413_,59.62
_20538_,59.62
_04817_,59.6
_07350_,59.6
_02299_,59.58
_22162_,59.58
_01690_,59.56
_18160_,59.54
_18985_,59.54
_21492_,59.54
_05184_,59.5
_20487_,59.48
_16246_,59.46
_04486_,59.44
_10953_,59.44
net139,59.4
_17775_,59.38
_00754_,59.36
_07392_,59.36
_16601_,59.36
_23171_,59.33
_11952_,59.32
_13740_,59.3
_06186_,59.26
_02087_,59.22
_01622_,59.2
_10633_,59.2
_22858_,59.2
net39,59.2
_18734_,59.18
_11261_,59.16
_01294_,59.12
_03991_,59.12
_10731_,59.12
_02648_,59.06
_19921_,59.06
_04525_,59.02
net322,59
_19954_,58.98
_05618_,58.96
_09460_,58.96
_12674_,58.94
clknet_leaf_119_clk,58.94
_06929_,58.92
_16762_,58.92
_02626_,58.88
_19584_,58.84
_11615_,58.8
_06745_,58.76
_14677_,58.72
_06269_,58.7
net607,58.69
_11986_,58.68
_15124_,58.66
_00961_,58.62
_18947_,58.62
_07676_,58.52
_23521_,58.52
_01318_,58.48
_08745_,58.46
_09792_,58.4
_09884_,58.32
_15942_,58.32
_18239_,58.3
_18401_,58.3
_01816_,58.28
_12155_,58.28
_15253_,58.28
_07872_,58.26
_24187_,58.26
_23384_,58.18
_00711_,58.16
_03982_,58.16
_19234_,58.14
_11760_,58.12
_13986_,58.12
_04491_,58.08
_25910_,58.06
_12027_,58.055
_07156_,58.04
_11020_,58.04
_24980_,58.04
_03258_,58.035
_04473_,58
_05174_,57.98
clknet_leaf_140_clk,57.96
_17119_,57.935
_24590_,57.9
_04018_,57.86
_17017_,57.86
_16633_,57.84
_21715_,57.84
net638,57.84
_03641_,57.82
_10725_,57.82
_22295_,57.82
net144,57.78
_04898_,57.77
_13650_,57.75
_01505_,57.73
_10245_,57.66
_08400_,57.64
_12640_,57.62
_16911_,57.62
_07455_,57.59
_05434_,57.56
_18151_,57.56
_18964_,57.56
_08699_,57.54
_11605_,57.54
net54,57.54
_04240_,57.52
_09245_,57.52
_16594_,57.48
_07377_,57.46
_23531_,57.44
_08763_,57.42
_01773_,57.4
_02162_,57.4
_14284_,57.38
_15857_,57.38
_15445_,57.36
_04069_,57.33
_09387_,57.32
_18288_,57.32
_20108_,57.32
_08595_,57.28
_11903_,57.28
_24922_,57.24
_09291_,57.22
_13385_,57.2
_07330_,57.18
_08502_,57.18
_09298_,57.18
_04712_,57.16
_19409_,57.16
_01736_,57.12
_15079_,57.08
_09714_,57.04
_05867_,57.02
_05998_,57.02
_09922_,57.02
_13321_,57.02
_21069_,57.02
net989,57
_12649_,56.99
_03738_,56.98
_21802_,56.98
_07854_,56.96
net576,56.96
_01549_,56.94
_07898_,56.9
_17393_,56.9
_15019_,56.87
_05829_,56.86
_07685_,56.84
_19552_,56.84
_17608_,56.82
_01181_,56.8
clknet_leaf_132_clk,56.8
_07499_,56.795
_02895_,56.69
_16799_,56.64
_21493_,56.64
_07288_,56.6
_21481_,56.6
_23187_,56.58
_10828_,56.575
_16881_,56.56
_07068_,56.54
_11522_,56.54
_15824_,56.52
_17120_,56.52
_20152_,56.4
_25941_,56.4
_11210_,56.39
_14171_,56.38
_01455_,56.34
_03372_,56.34
_24394_,56.32
_20410_,56.3
_21803_,56.28
_06528_,56.26
clknet_leaf_165_clk,56.26
_25729_,56.22
_16502_,56.12
_04464_,56.08
_06230_,56.06
_17673_,56.06
clknet_leaf_53_clk,56.06
net515,56.025
_22174_,55.98
_01939_,55.96
_04704_,55.96
_18728_,55.96
_24399_,55.96
_01102_,55.92
_08935_,55.895
_02262_,55.88
_01666_,55.86
_02453_,55.86
_01496_,55.84
_01678_,55.8
_10594_,55.78
_07744_,55.77
_18105_,55.74
_16987_,55.72
_24372_,55.72
_25926_,55.72
_01388_,55.7
_08691_,55.7
_24009_,55.68
_03373_,55.63
_23456_,55.62
_13618_,55.6
_24722_,55.58
_13078_,55.56
_01320_,55.52
_19808_,55.52
_05790_,55.48
_16148_,55.46
_22446_,55.46
_18761_,55.42
_18521_,55.4
_14596_,55.38
_03454_,55.36
_17754_,55.36
_08585_,55.34
_20270_,55.28
_21430_,55.28
_10289_,55.26
_16430_,55.26
_05636_,55.18
net204,55.18
_01349_,55.16
_12965_,55.16
net532,55.16
_01795_,55.12
_15676_,55.1
_19828_,55.1
_07100_,55.08
_13116_,55.07
_04366_,55.06
_19232_,55.06
_25156_,55.02
_21190_,55
_11452_,54.98
_21991_,54.96
_01391_,54.94
_13376_,54.94
_23963_,54.91
_01139_,54.9
_02288_,54.9
_03232_,54.84
_25403_,54.84
clknet_leaf_41_clk,54.84
_06348_,54.82
_08231_,54.82
_15839_,54.8
_22599_,54.76
clknet_leaf_77_clk,54.76
_04874_,54.72
_19140_,54.7
_12995_,54.68
clknet_leaf_146_clk,54.68
_08163_,54.66
_18280_,54.66
_00765_,54.64
m1.B12\[10\],54.64
_10809_,54.635
_02321_,54.62
_02656_,54.62
_07464_,54.6
_21624_,54.6
_16623_,54.58
_15056_,54.56
_12916_,54.54
_15520_,54.52
_23927_,54.52
_01354_,54.5
_04671_,54.5
_08090_,54.5
_13357_,54.48
_05950_,54.46
_06703_,54.46
net90,54.46
_03198_,54.45
_02197_,54.44
_04201_,54.44
_06530_,54.44
_19955_,54.44
_02311_,54.42
_09612_,54.42
_09516_,54.4
_09707_,54.4
_24701_,54.32
_02362_,54.3
_07247_,54.28
_20111_,54.26
_15088_,54.24
_00798_,54.22
_02937_,54.2
_23861_,54.2
_16123_,54.19
clknet_leaf_106_clk,54.18
_22268_,54.16
_19894_,54.15
_03813_,54.12
_10972_,54.12
_11236_,54.12
_17494_,54.12
_22335_,54.12
_13836_,54.11
_05865_,54.1
_15240_,54.1
_16803_,54.1
_03050_,54.08
_25506_,54.08
_20499_,54.02
_08041_,54.015
_09027_,54
_13589_,54
net535,54
_04909_,53.98
_15413_,53.96
_21692_,53.94
_19572_,53.9
_04368_,53.88
_19356_,53.86
_04489_,53.76
_14389_,53.76
net145,53.76
_02738_,53.74
_03071_,53.73
_10121_,53.72
_13402_,53.72
_18962_,53.72
_23967_,53.72
_05078_,53.7
_18632_,53.68
_09643_,53.66
_07380_,53.65
_24753_,53.64
_07360_,53.58
_08519_,53.56
_17752_,53.56
_15668_,53.54
_11773_,53.52
_12494_,53.52
_25937_,53.52
_21460_,53.515
net538,53.495
_19893_,53.48
_04793_,53.47
_13612_,53.44
_08162_,53.42
_13393_,53.42
_23116_,53.42
_14272_,53.4
_21509_,53.4
net526,53.4
_05816_,53.38
_11896_,53.38
net548,53.38
_07763_,53.36
_02906_,53.34
_20074_,53.34
_25047_,53.34
_11774_,53.26
_03220_,53.22
_17813_,53.2
_20112_,53.195
_21026_,53.18
_23395_,53.18
_04690_,53.16
_11698_,53.16
_22322_,53.14
_08094_,53.12
_20549_,53.1
_10390_,53.04
_01434_,52.98
_08148_,52.98
_20071_,52.96
_02115_,52.9
_13649_,52.88
_22807_,52.88
net216,52.88
_09183_,52.86
_04165_,52.84
_08252_,52.84
clknet_leaf_166_clk,52.8
_12947_,52.76
_19288_,52.74
_25557_,52.74
_02570_,52.72
_17373_,52.72
_04679_,52.7
_10444_,52.7
_05504_,52.68
_06531_,52.68
_10049_,52.68
_02582_,52.66
_21094_,52.61
_19143_,52.58
net763,52.58
_20661_,52.56
_13882_,52.52
_15909_,52.52
_05966_,52.5
_10056_,52.5
_12241_,52.5
_03598_,52.48
_13307_,52.44
_11721_,52.43
_05841_,52.42
_13799_,52.42
_04103_,52.4
_17682_,52.4
_08499_,52.38
_08880_,52.34
_11607_,52.34
clknet_leaf_46_clk,52.34
_15797_,52.32
_02829_,52.3
_14946_,52.26
_14141_,52.25
_07448_,52.24
_17959_,52.24
_22427_,52.24
_09754_,52.22
net77,52.22
_03293_,52.2
_24580_,52.2
_03023_,52.18
_06282_,52.18
_23658_,52.18
_05017_,52.16
_22849_,52.16
clknet_leaf_23_clk,52.16
_05656_,52.14
_07683_,52.11
_01938_,52.1
_15582_,52.08
_04487_,52.06
_14393_,52.06
_15751_,52.02
_21065_,52.02
_09145_,51.94
_14082_,51.92
_18606_,51.92
_11666_,51.9
_19045_,51.9
_20790_,51.9
_07305_,51.89
_25684_,51.89
_04796_,51.88
_15188_,51.88
_19539_,51.86
_10471_,51.84
_17629_,51.84
_21455_,51.84
_02924_,51.82
_08739_,51.82
_24794_,51.8
_02056_,51.785
_16902_,51.78
_08577_,51.76
_09611_,51.76
_21882_,51.74
_05854_,51.73
_08320_,51.7
_08715_,51.7
_23381_,51.7
_02286_,51.68
_06364_,51.66
_19015_,51.62
m0.B22\[12\],51.62
_01175_,51.6
net87,51.6
_08132_,51.58
_14016_,51.58
_02158_,51.56
